Código,Nome,Volume,Última (R$),Variação
BRSR6,Banrisul,2.813.800,12,31,-0,73%
SIMH3,Simpar,2.780.100,8,93,-2,30%
HYPE3,Hypera,2.745.800,41,05,-0,92%
VIVT3,Vivo,2.611.600,41,04,-1,82%
PSSA3,Porto Seguro,2.389.200,23,90,+0,42%
KEPL3,Kepler Weber,2.362.700,8,24,-5,40%
ELET6,Eletrobras,2.283.700,38,82,-0,18%
SBFG3,Grupo SBF,2.209.300,9,88,-0,30%
SBSP3,Sabesp,2.155.500,52,51,-0,81%
POSI3,Positivo,2.123.000,6,78,-1,02%
VIVR3,Viver,2.101.300,0,34,-2,86%
AESB3,AES Brasil,2.090.600,12,29,-0,32%
GFSA3,Gafisa,2.063.200,5,12,-4,83%
ENAT3,Enauta,2.036.600,12,30,-1,99%
RAPT4,Randon,1.832.800,10,66,-0,37%
MILS3,Mills,1.829.600,11,50,+2,31%
ARZZ3,Arezzo,1.809.800,73,80,-0,77%
ESPA3,Espaçolaser,1.790.700,1,38,-4,17%
PCAR3,Grupo Pão de Açúcar,1.762.500,16,14,-0,49%
CPFE3,CPFL Energia,1.597.800,31,07,-1,80%
JHSF3,JHSF,1.573.700,4,57,+0,22%
SMTO3,São Martinho,1.557.200,35,72,+0,22%
MYPK3,Iochpe-Maxion,1.556.900,12,49,+2,80%
CPLE3,Copel,1.489.400,6,77,-1,88%
AZEV4,Azevedo & Travassos,1.481.500,1,60,+6,67%
CAML3,Camil Alimentos,1.453.100,6,94,-2,66%
DIRR3,Direcional,1.451.400,17,33,+0,81%
SAPR4,Sanepar,1.423.700,4,14,-1,43%
CSMG3,COPASA,1.418.200,20,03,-0,35%
KLBN4,Klabin,1.401.100,4,21,-0,24%
TRPL4,Transmissão Paulista,1.376.700,25,20,+0,20%
RCSL3,Recrusul,1.365.100,1,76,-0,56%
ALPK3,Estapar,1.328.100,2,83,+5,20%
CURY3,Cury,1.258.200,13,62,+0,37%
MDIA3,M. Dias Branco,1.248.700,38,98,-1,22%
VIVA3,Vivara,1.172.200,24,93,-0,76%
MBLY3,Mobly,1.122.000,2,76,+1,47%
EGIE3,Engie,1.089.800,42,74,-0,65%
ODPV3,Odontoprev,1.078.600,11,37,-3,15%
ZAMP3,Zamp,1.076.500,3,84,-4,00%
KRSA3,Kora Saúde,1.070.000,0,95,-4,04%
HBOR3,Helbor,1.062.000,2,95,+1,72%
NEOE3,Neoenergia,1.048.200,15,76,-1,13%
NINJ3,GetNinjas,1.013.300,3,07,-9,44%
ABCB4,Banco ABC Brasil,1.006.900,16,64,+0,24%
INTB3,Intelbras,988.300,25,49,-2,67%
SLCE3,SLC Agrícola,975.300,34,57,-1,43%
PTBL3,Portobello,955.300,7,05,+1,73%
PLPL3,Plano&Plano,868.100,7,30,-0,14%
GGPS3,GPS,862.700,14,69,-2,20%
ENJU3,Enjoei,862.700,1,22,+0,00%
TTEN3,3tentos,858.300,12,11,-0,82%
MEAL3,IMC Alimentação,846.400,2,16,-2,26%
MTRE3,Mitre Realty,840.300,5,60,+1,27%
GRND3,Grendene,838.800,7,01,-0,71%
TRAD3,Traders Club,815.500,0,98,+0,00%
RANI3,Irani,810.400,8,37,-1,18%
PGMN3,Pague Menos,766.700,3,30,-1,79%
ITUB3,Itaú Unibanco,717.500,22,64,-0,48%
SQIA3,Sinqia,711.600,20,01,-1,72%
TUPY3,Tupy,683.000,24,84,-2,40%
BOAS3,Boa Vista,673.500,7,62,-1,42%
KLBN3,Klabin,672.000,4,41,+1,61%
ONCO3,Oncoclínicas,669.900,10,84,-0,55%
JALL3,Jalles Machado,659.500,8,19,-1,80%
AMBP3,Ambipar,644.900,20,49,-2,06%
LUPA3,Lupatech,624.000,3,04,+0,00%
DASA3,Dasa,529.100,10,44,-5,09%
SHOW3,Time For Fun,515.400,2,12,+6,00%
MDNE3,Moura Dubeux,493.900,7,05,-1,12%
EVEN3,Even,487.000,6,36,-1,40%
TRIS3,Trisul,480.000,4,75,+0,00%
INEP3,Inepar,467.800,0,95,-2,06%
BRIT3,Brisanet,454.000,2,31,+0,00%
TASA4,Taurus,445.200,15,15,-1,11%
SHUL4,Schulz,431.300,5,76,-3,68%
USIM3,Usiminas,423.900,6,97,-1,97%
HBRE3,HBR Realty,422.300,4,38,-0,45%
ARML3,Armac,419.200,15,69,-2,30%
ROMI3,Indústrias ROMI,418.100,16,87,-1,00%
SYNE3,SYN,405.200,3,81,+1,06%
PINE4,PINE,399.000,2,75,+0,73%
BMGB4,Banco BMG,390.200,2,20,-0,90%
SGPS3,Springs,388.700,1,28,+0,00%
LOGG3,LOG CP,383.200,22,00,+4,17%
JSLG3,JSL,382.100,8,28,-3,61%
WIZC3,Wiz Soluções,376.800,5,83,-1,85%
TECN3,Technos,374.600,2,98,-0,33%
PNVL3,Dimed,372.000,11,62,-1,53%
NGRD3,Neogrid,362.900,1,54,-2,53%
ORVR3,Orizon,318.900,36,17,-1,31%
AGRO3,BrasilAgro,318.600,22,98,-2,79%
MATD3,Mater Dei,306.900,9,20,-1,08%
BMOB3,Bemobi,305.500,14,01,-0,85%
CSED3,Cruzeiro do Sul Educacional,305.300,3,27,-2,97%
LEVE3,Mahle Metal Leve,300.200,41,18,-1,86%
VULC3,Vulcabras,299.800,15,79,+1,35%
CLSA3,ClearSale,296.200,6,17,+1,31%
SEER3,Ser Educacional,295.100,3,88,-2,27%
FESA4,Ferbasa,290.500,50,22,-4,12%
SAPR3,Sanepar,288.700,4,04,-1,70%
AZEV3,Azevedo & Travassos,274.700,1,62,+5,19%
VLID3,Valid,271.900,13,80,+1,25%
ETER3,Eternit,268.300,10,92,-3,11%
IGTI3,Jereissati Participações,264.200,2,57,-3,02%
IGTI3,Iguatemi,264.200,2,57,-3,02%
DOTZ3,Dotz,253.500,0,93,+0,00%
LAVV3,Lavvi Incorporadora,233.900,6,37,+0,00%
INEP4,Inepar,215.600,0,76,+0,00%
CMIG3,CEMIG,208.700,17,36,-1,53%
UNIP6,Unipar,205.000,69,99,-2,10%
SOJA3,Boa Safra Sementes,201.200,11,00,-2,40%
AALR3,Alliar,194.200,22,83,-0,39%
LOGN3,Log-In,190.600,51,04,+1,07%
GOAU3,Metalúrgica Gerdau,168.600,10,70,-1,83%
FRAS3,Fras-le,167.800,12,10,-0,58%
GGBR3,Gerdau,166.000,21,08,-1,17%
TPIS3,Triunfo,162.100,3,20,-1,54%
BLAU3,Blau Farmacêutica,161.300,20,86,-2,11%
OPCT3,OceanPact,161.000,4,03,+1,26%
PRNR3,Priner,151.000,8,41,-0,36%
RCSL4,Recrusul,150.000,0,78,+1,30%
VITT3,Vittia,139.500,11,38,-0,09%
LAND3,Terra Santa,138.800,24,75,-1,04%
PDGR3,PDG Realty,134.100,5,21,-2,25%
VVEO3,Viveo,133.200,17,28,+0,35%
PORT3,Wilson Sons,126.600,10,70,-1,29%
